map_id,template_no,question,ground_truth,c_or_d,relative_region
1_3C,6,Yes or no: the map depicts absolute values.,Yes,c,N
1_3C,19,Yes or no: the value of the state Jiangsu is similar to state Zhejiang.,Yes,c,N
1_3C,15,List the states bordering North Korea with the highest value.,Liaoning,c,Y
1_3C,3,What is the overall range of the legend?,5k-40k,c,N
1_3C,18,Yes or no: the value of Shanghai is higher than its neighbouring state Zhejiang.,Yes,c,Y
1_3C,5,Yes or no: the legend has multiple distinct colours.,No,c,N
1_3C,28,Which state bordering Mongolia has the closest value to state Fujian?,Inner Mongolia,c,Y
1_3C,20,Name the East most state that has a higher value compared to all its neighbours.,Shanghai,c,Y
1_3C,21,Yes or no: state Qinghai has the highest value among the states bordering Tibet .,No,c,Y
1_3C,39,Yes or no: all states bordering Russia have values in range 35000 - 40000.,No,c,N
2_3C,22,Yes or no: States bordering Mongolia have lower values on average than states bordering India.,No,c,N
2_3C,32,Yes or no: Hunan is an outlier compared to other states along the Indian border.,No,c,N
2_3C,6,Yes or no: the map depicts absolute values.,Yes,c,N
2_3C,36,Name the west most state with values in range < -30.,Tibet,c,N
2_3C,30,Does Jilin have the same value as Beijing amongst the states in the north east region?,No,c,N
2_3C,5,Yes or no: the legend has different shades of the same colour.,Yes,c,N
2_3C,28,Which state bordering South China Sea has the closest value to Xinjiang?,Guangdong,c,Y
2_3C,34,Yes or no: Heilongjiang is the North most state that has a higher value compared to all its neighbours.,Yes,c,Y
2_3C,33,Yes or no: Tibet and Qinghai are the pair of bordering states with the highest difference.,Yes,c,Y
2_3C,27,Which states bordering South China Sea have a similar value as Tibet?,,c,Y
3_6C,36,Name the North most state with values in the highest range.,Heilongjiang,c,N
3_6C,16,Between which two legend markings does Hunan fall in?,4 - 4.5,c,N
3_6C,39,Yes or no: all coastal states have values below 2.0.,No,c,N
3_6C,27,Which states with coasts have a value similar to Tibet?,"Guangdong, Hainan",c,N
3_6C,30,Does Qinghai have the same value as Jilin?,No,c,N
3_6C,3,What is the overall range of the legend?,<1.5 - 4.5,c,N
3_6C,17,Count the states with the values in range 2.5 - 3.0 in the region bordering Pakistan.,1,c,Y
3_6C,22,Yes or no: States bordering Myanmar have similar values on average than states bordering Russia.,No,c,N
3_6C,35,How many states bordering Russia have a value higher than Shandong?,2,c,Y
3_6C,42,"Yes/No: Sichuan has a similar value as Hunan, and also a higher value than Zhejiang.",Yes,c,N
4_1C,7,Is the legend continuous or discrete?,Continuous,c,N
4_1C,5,Yes or no: the legend has different shades of the same colour?,Yes,c,N
4_1C,20,Name the West most state that has a higher compared to all its neighbours.,Xinjiang,c,Y
4_1C,35,How many states bordering Russia have a value similar to Hainan?,0,c,Y
4_1C,10,Is the value of Beijing closer to Hainan or Yunnan?,Hainan,c,N
4_1C,6,Yes or no: the map depicts percentages.,No,c,N
4_1C,15,List the states bordering Pakistan with the highest values.,Xinjiang,c,Y
4_1C,3,What is the overall range of the legend?,< -20 - >80,c,N
4_1C,41,Are the legends evenly spaced?,Yes,c,N
4_1C,32,Yes or no: Beijing is an outlier compared to its neighbours.,Yes,c,Y
5_5C,23,How many states bordering Russia have a value higher than 6?,1,c,Y
5_5C,11,Which state bordering Russia belong to range 6.5 - 7?,Heilongjiang,c,N
5_5C,19,Yes or no: the value of Guangdong is higher than Jilin.,Yes,c,N
5_5C,3,What is the overall range of the legend?,<4.5 - >7,c,N
5_5C,35,How many states bordering India have a value lower than Fujian?,1,c,Y
