map_id,template_no,question,ground_truth,c_or_d,relative_region
957,35,How many states in the west coast have value lower than Evoria?,3,c,N
957,12,What is the highest value range along the Ravia border?,>0.55,c,Y
9447,35,How many states bordering Adoria belongs to lowest range?,2,d,Y
8808,17,Count the states with the values in range 1937-6710 in the east coast region.,2,d,N
8391,35,How many states along the Canada border has value less than 0.2 M ?,6,c,N
8391,16,What value range Eloria fall in?,1.4M - 1.6M,c,N
8213,35,How many states bordering Eloria have a value higher than Ravia?,0,c,Y
8213,12,What is the highest range along the Lavara borders?,0.25-0.3,c,Y
8213,20,Name the state on the east coast that belongs to a higher value range compared to all its neighbours.,Iridia,c,Y
5000,35,Count the number of states along Pallax border in the range 0.34-0.36,1,c,Y
5000,27,Which states bordering Canada have a value similar to Sirona?,Seraphine,c,N
4270,35,How many states along the Evoria border belongs to highest range?,3,d,Y
4,20,Which is western most state in the highest range?,Bivana,c,N
340,35,How many states in the south east region belongs to range 4% ?,3,d,N
340,12,What is the lowest range in the south east region ?,4%,d,N
30,35,How many states in the east belongs to highest range ?,2,d,N
2769,17,Count the states with the values in range 3%-7% in the east coast.,4,d,N
2632,20,Name the state along the Iridia border the lowest value,Aquilis,c,Y
2632,26,Which states bordering Isolara has value less than 50k?,"Quixote, Wixalia",c,Y
20746,35,Count the states along the Halcyon border with similar values.,2,c,Y
20746,26,Which states bordering the Great Lakes have a value in the range 0.7-0.8?,Wysteria,c,N
20517,35,How many states bordering Xanara belongs to highest range?,1,d,Y
20517,34,Yes or no: Halcyon is the North most state that has a similar value compared to all its neighbours.,No,d,Y
2024,35,How many states bordering Canada have a value lower than Evoria?,6,d,N
2024,16,What value range does Coraline fall in?,10.6-12.5%,d,N
2024,20,Name the eastern-most state that belongs to a higher value range compared to all its neighbours.,Coraline,d,Y
200,35,How many states in the east coast has value similar to Ravia?,2,c,N
200,16,What value range Eloria fall in?,12k-14k,c,Y
19,35,Count the number of states in the lowest range along the Kryon border?,2,d,Y
16717,35,Count the states belonging to 12-149 range along the Moxie border.,1,d,Y
16717,15,List the state(s) in the east coast region with the highest value.,"Fenara, Dulcet",d,N
15641,35,How many states bordering Sirona has value in the range 15.6 - 21.8 ?,6,d,Y
15641,16,What value range the state Isolara fall in ?,9.1-12.7,d,N
14598,35,How many states along the Wysteria border belong to highest range?,2,d,Y
14598,12,What is the highest range along Pulsera border?,447-554,d,Y
11349,35,How many states along the Bivana border has the same value as Sirona?,1,d,Y
10436,35,How many states bordering Moxie have a value similar to Nexus?,2,d,Y
10436,12,What is lowest range in the south east region?,13.7%-17.0%,d,N
20787,16,What value range does state Xivia fall in?,627600 - 960700,d,N
20787,20,Name the state on the west coast that belongs to a similar value range compared to atleast 2 of its neighbours.,Kryon,d,Y
20787,27,Which states neighbouring Evoria have a value lower than Fenara?,"Cirrus, Folium, Jevana",d,N
20787,39,Yes or no: all states bordering Iridia have values in the same range.,No,d,Y
20781,35,How many states bordering Canada have a value similar to Sirona?,2,d,N
20774,16,What value range does Evoria fall in?,0.055-0.06,c,N
20746,16,What value range does state Halcyon fall in?,0.8-0.9,c,N
20746,36,Which is the westernmost state with a value in the range 0.1-0.2?,Eloria,c,N
20746,36,Which is the northern most state with a value in the range 0.4-0.5?,Zolara,c,N
20746,18,Yes or no: the value of the state Oriana is lower than its neighbouring state Zolara.,No,c,N
20584,16,What value range (legend markings wise) does Ravia fall in?,10-12M,c,N
20584,13,Which state has the least value on the west coast?,Kryon,c,N
20584,40,Which pair of state with values above 8M are closest to one another?,"Iridia, Ravia",c,
20556,36,"Name the northern most state in the range 1400-18,900.",Seraphine,d,N
20556,26,Which states along the east coast have a value same as Eloria?,Glacia,d,N
20556,33,Yes or no: Opaline and Yalora are a pair of bordering states with the least difference.,Yes,d,Y
20517,16,What value range does state Seraphine fall in?,8.2% - 10.4%,d,N
20517,13,Which state has the second highest value along the west coast?,Eloria and Valara,d,N
20517,26,Which states in the west coast region have a value higher than 12.7%?,Kryon,d,N
19332,35,How many states along the east coast have a value similar to Eloria?,6,d,N
19332,36,Name the southern-most state in the range 950-1400.,Sirona,d,N
19332,20,Name the westmost state that belongs to a higher value range compared to all its neighbours.,Lavara,d,Y
19332,15,Which state on the West Coast has the highest value?,Kryon,d,N
19332,19,Yes or no: the value of  Iridia is higher than Seraphine.,Yes,d,N
18501,35,How many states bordering Canada have a value similar to Ravia?,1,d,N
18501,15,Which state on the east coast has the highest value?,"Fenara, Iridia",d,N
18501,22,Yes or no: States bordering the Great Lakes have lower values on average than states bordering Great Salt Lake.,No,d,N
18402,12,What is the least value range in the west coast region?,<0.05,c,N
18402,15,Which state along the Canada border region has the lowest value?,Seraphine,c,N
18402,18,Yes or no: the value of the state Coraline is higher than its neighbouring state Terrana.,Yes,c,N
18348,13,Which state has the least value in the west coast?,Eloria,d,N
18348,36,Name the southern most state in the range 63.2-74%.,Ravia,d,N
18348,27,Which states in the north east region has the similar valua as Zolara?,"Fenara, Terrana, Uvera, Mystara",d,N
18348,32,Yes or no: Wysteria is an outlier compared to other states bordering Canada.,Yes,d,N
17383,12,Which states on the east coast has the highest value?,Nexus,c,N
17383,27,Which states in along the southern border have a value higher than Fenara?,"Eloria, Cirrus",c,N
17383,32,Yes or no: Fenara is an outlier compared to other states bordering Canada.,No,c,N
16717,16,What value range does Iridia fall in?,380-698,d,N
16717,15,List the state(s) in the west coast region with the highest value.,Eloria,d,N
16686,36,Name the Northmost state in the highest range.,Bexley,d,N
16686,15,Which state on the Canada border has the highest value?,Wysteria,d,N
16686,32,Yes or no: Washinton is an outlier compared to other states in the west coast.,No,d,N
16391,35,How many states in the west coast have a value lower than Ravia?,3,c,N
16391,16,What value range does state Lavara fall in?,> 0.22,c,N
16161,15,Which state on the Mexico border has the lowest value?,Ravia,d,N
15950,35,How many states bordering Iridia have a value higher than Wysteria?,0,d,Y
15950,28,Which state bordering Yolena has the same value as Bivana?,"Zolara, Folium",d,Y
15950,42,Yes/No: Kryon has a higher value than Halcyon and also a higher value than Moxie.,No,d,N
15641,20,Name the western-most state that belongs to a lower value range compared to all its neighbours.,Eloria,d,Y
15641,15,Which states bordering Lake Huron have the highest value?,Vorana,d,N
15641,33,Yes or no: Opaline and Yalora are the pair of bordering states with the highest difference.,No,d,Y
15117,23,How many states bordering Lake Superior have missing data?,0,d,N
15117,35,How many states bordering Yolena have a value higher than state Uvera?,1,d,Y
15117,13,Which state has the least value among the states bordering Mexico?,Cirrus,d,N
15117,30,Does state Yalora have the same value to state Sirona.,Yes,d,N
15061,35,How many states along the west coast have a value higher than Fenara?,2,d,N
15061,20,Name the southernmost state that belongs to a similar range as all its neighbours.,Isolara,d,Y
