map_id,template_no,question,ground_truth,c_or_d,relative_region
1_0C,5,Yes or no: the legend has different shades of the same colour?,No,c,N
1_0C,13,Which state has the highest value along the west coast?,Maharashtra,c,N
1_0C,23,How many states in North India have a value higher than Tamil Nadu?,2,c,N
1_0C,27,Which states in North India have a value similar to state Andhra Pradesh?,Bihar,c,N
1_0C,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,c,N
1_0C,33,Yes or no: Nagaland and Manipur are the pair of bordering states with the highest difference.,No,c,Y
1_0C,10,Is the value of Rajasthan closer to Gujarat or Jharkhand?,Gujarat,c,N
1_0C,28,Which state bordering Nepal have the closest value to Andhra Pradesh?,Bihar,c,Y
1_0C,18,Yes or no: the value of Haryana is similar to its neighbouring state Himachal Pradesh.,Yes,c,Y
1_0C,6,Yes or no: the map depicts absolute values.,Yes,c,N
3_1D,5,Yes or no: the legend has different shades of the same colour?,Yes,d,N
3_1D,18,Yes or no: the value of Goa is higher than its neighbouring state Karnataka.,No,d,Y
3_1D,16,Between which two legend markings does Arunachal Pradesh fall in?,"4,647.33 - 34,472.0",d,N
3_1D,7,Is the legend discrete or continuous?,Discrete,d,N
3_1D,37,"Which state bordering Pakistan borders at least 2 states from range 1,361,968.33 - 13,978,608.0?",Rajasathan,d,N
3_1D,17,"Count the states bordering Bhutan with the values in range below 34,472.0.",2,d,Y
3_1D,3,What is the overall range of the legend?,"14.99 - 13,978,608.0",d,N
3_1D,20,Name the eastern-most state that has a different value compared to all its neighbours.,Assam,d,Y
3_1D,27,Which states in the west coast have a value similar to Odisha?,"Karnataka, Maharashtra",d,N
3_1D,36,Name the W-most state in the highest range.,Gujarat,d,N
3_7C,21,Yes or no: Uttar Pradesh has the least value in North India.,No,c,N
3_7C,3,What is the overall range of the legend?,0 - 14M,c,N
3_7C,15,List the number of states bordering Bangladesh with values similar to Odisha,4,c,Y
3_7C,6,Yes or no: the map depicts percentages.,No,c,N
3_7C,16,Between which two legend markings does Gujarat fall in?,2M - 4M,c,N
3_7C,30,Does Punjab have the most different value to West Bengal amongst the states bordering Jharkhand?,No,c,Y
3_7C,36,Name the northern most state with values higher than 14M.,Uttar Pradesh,c,N
3_7C,7,Is the legend continuous or discrete?,Continuous,c,N
3_7C,11,Which states bordering Tamil Nadu belong to range below 2M?,"Karnataka, Kerala",c,Y
3_7C,9,Does the value of Uttarakhand fall in range 10M - 12M?,No,c,N
4_4C,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,c,N
4_4C,19,Yes or no: the value of Odisha is higher than Maharashtra.,No,c,N
4_4C,5,Yes or no: the legend has multiple distinct colours.,No,c,N
4_4C,6,Yes or no: the map depicts absolute values.,Yes,c,N
4_4C,9,Does the value of Gujarat fall in range 2000 - 2500?,Yes,c,N
4_4C,16,Between which two legend markings does Andhra Pradesh fall in?,1000 - 1500,c,N
4_4C,13,Which state has the highest value in West India?,Maharashtra,c,N
4_4C,34,Yes or no: Gujarat is the W-most state that has a similar value compared to all its neighbours.,No,c,Y
4_4C,10,Is the value of Assam closer to Tripura or Madhya Pradesh?,Tripura,c,N
4_4C,42,"Yes/No: Maharshtra has a higher value than West Bengal, and also have a higher value than Andhra Pradesh.",Yes,c,N
5_8C,5,Yes or no: the legend has multiple distinct colours.,Yes,c,N
5_8C,26,Which states bordering Punjab have a value higher than Madhya Pradesh?,"Haryana, Himachal Pradesh, Jammu & Kashmir, Rajasthan",c,Y
5_8C,7,Is the legend continuous or discrete?,Continuous,c,N
5_8C,15,List the state in the West Coast with the highest values.,Kerala,c,N
5_8C,6,Yes or no: the map depicts absolute values.,Yes,c,N
5_8C,43,"Rank the states Rajasthan, Gujarat and Jammu & Kashmir in terms of the legend value in region bordering Pakistan.",Gujarat < Rajasthan < Jammu & Kashmir,c,N
5_8C,17,Count the states with the values in range 500 - 600 in the region below Vindhyas.,1,c,N
5_8C,9,Does the value of Uttar Pradesh fall in range above 700?,No,c,N
5_8C,19,Yes or no: the value of Tripura is similar to Madhya Pradesh.,Yes,c,N
5_8C,39,Yes or no: all states bordering Nepal have values below 300.,No,c,Y
6_8C,35,How many states bordering Bangaldesh have a value similar to Odisha?,1,c,Y
6_8C,16,Between which two legend markings does Kerala fall in?,1000 - 1200,c,N
6_8C,38,Yes or no: the value of Odisha is below the median value amongst states in which Godavari flows.,Yes,c,N
6_8C,22,Yes or no: States bordering China have higher values on average than states bordering Pakistan.,Yes,c,N
6_8C,39,Yes or no: all states bordering Jharkhand have values in range 600 - 800.,No,c,Y
6_8C,26,Which states in the east coast have a value higher than Himachal Pradesh?,,c,N
6_8C,36,Name the W-most state with values in range 1000 - 1200.,Kerala,c,N
6_8C,5,Yes or no: the legend has multiple distinct colours.,Yes,c,N
6_8C,30,Does Tamil Nadu have the most different value than Kerala amongst the states in South India.,Yes,c,N
6_8C,6,Yes or no: the map depicts absolute values.,Yes,c,N
7_5C,16,Between which two legend markings does Assam fall in?,250 - 300,c,N
7_5C,31,Yes or no: a majority of states in South India have values less than 150.,Yes,c,N
7_5C,18,Yes or no: the value of Uttar Pradesh is higher to its neighbouring state Bihar.,Yes,c,Y
7_5C,3,What is the overall range of the legend?,50 - 300,c,N
7_5C,32,Yes or no: Assam is an outlier compared to other states in north east region.,Yes,c,N
7_5C,42,"Yes/No: Madhya Pradesh has a lower value than Assam, and also have a similar value as Odisha.",Yes,c,N
7_5C,13,Which state has the highest value in the west coast?,Karnataka,c,N
7_5C,7,Is the legend continuous or discrete?,Continuous,c,N
7_5C,11,Which states bordering Nepal belong to range 250 - 300?,Uttar Pradesh,c,Y
7_5C,9,Does the value of Karnataka fall in range 100 - 150?,Yes,c,N
7_7D,43,"Rank the states: Punjab, Assam and Kerala in terms of the legend value.",Kerala < Punjab < Assam,d,N
7_7D,19,Yes or no: the value of the state Telangana is similar to Andhra Pradesh.,Yes,d,N
7_7D,33,Yes or no: Bihar and Uttar Pradesh are a pair of bordering states with the highest difference.,No,d,Y
7_7D,4,What value range does the darkest shade represent?,166.5 - 229.0,d,N
7_7D,15,List the states bordering Pakistan with the lowest value.,Gujarat,d,Y
7_7D,34,Yes or no: Odisha is the eastern-most state that has a similar value compared to all its neighbours.,No,d,Y
7_7D,18,Yes or no: the value of West Bengal is similar to its neighbouring state Bihar.,No,d,Y
7_7D,9,Does Uttarakhand fall in the range 76.0 - 97.0?,Yes,d,N
7_7D,41,Are the legends evenly spaced?,No,d,N
7_7D,38,Yes or no: the value of Odisha is below the median value amongst states in which Godavari flows.,No,d,N
8_6C,21,Yes or no: Maharashtra has the highest value in the west coast.,Yes,c,N
8_6C,10,Is the value of Odisha closer to West Bengal or Bihar?,West Bengal,c,N
8_6C,17,Count the states with the values in range below 250 in the north-east region.,7,c,N
8_6C,18,Yes or no: the value of Uttar Pradesh is higher than its neighbouring state Haryana.,Yes,c,Y
8_6C,6,Yes or no: the map depicts percentages.,No,c,N
8_6C,26,Which states bordering Pakistan have a value higher than 250?,,c,Y
8_6C,11,Which states bordering Maharashtra belong to range less than 250?,"Chhattisgarh, Goa, Gujarat, Madhya Pradesh",c,Y
8_6C,30,Does Uttarakhand have the same value as Jammu & Kashmir amongst the states that border China?,No,c,N
8_6C,7,Is the legend continuous or discrete?,Continuous,c,N
8_6C,38,Yes or no: the value of Tamil Nadu is above the median value amongst states in South India.,Yes,c,N
9_2C,16,Between which two legend markings does Madhya Pradesh fall in?,>4000,c,N
9_2C,43,"Rank the states: Karnataka, Odisha and Goa in terms of the legend value.",Goa < Odisha < Karnataka,c,N
9_2C,27,Which states bordering Pakistan have a value similar to Odisha?,Gujarat,c,Y
9_2C,20,Name the N-most state that has a similar value compared to all its neighbours.,Jammu & Kashmir,c,Y
9_2C,15,List the states in the east coast with the highest value.,Andhra Pradesh,c,N
9_2C,36,Name the southern-most state with values in range 500 - 1000.,Tamil Nadu,c,N
9_2C,42,"Yes/No: Assam has a similar value to Tripura, and also have a lower value than Mahrashtra.",Yes,c,N
9_2C,31,Yes or no: a majority of states in north-east region have values less than 1000.,Yes,c,N
9_2C,7,Is the legend continuous or discrete?,Continuous,c,N
9_2C,26,Which states bordering Kerala have a value lower than 1000?,Tamil Nadu,c,Y
9_7D,7,Is the legend discrete or continuous?,Discrete,d,N
9_7D,15,List the 4 states to the east of West Bengal with the lowest values.,"Meghalaya, Mizoram, Tripura, Arunachal Pradesh",d,Y
9_7D,30,Does Punjab have the most different value to Uttar Pradesh amongst the states that are considered as breadbasket of India.,Yes,d,N
9_7D,41,Are the legends evenly spaced?,No,d,N
9_7D,29,Which range has the lowest number of states?,2.39 - 8.25,d,N
