map_id,template_no,question,ground_truth,c_or_d,relative_region
8808,20,Name the North most state that belongs to a higher value range compared to all its neighbours.,Washington,d,Y
8808,21,Yes or no: state Georgia has the highest value in the south east region.,No,d,N
8808,12,What is the highest value range in the west coast region?,1937-6710,d,N
8808,32,Yes or no: state California is an outlier compared to its neighbours.,Yes,d,Y
8808,1,How many distinct categories does the legend contain?,4,d,N
8808,36,Name the Northern most state in the range 550-1094.,Minnesota,d,N
8808,17,Count the states with the values in range 1937-6710 in the east coast region.,2,d,N
8808,26,Which states bordering Texas have a value higher than Indiana?,,d,Y
8808,5,Yes or no: the legend has different shades of the same colour?,Yes,d,N
8808,43,"Rank the states California, Oregon, and Washington in terms of the legend value in the West Coast region?",Oregon < Washington < California,d,Y
5,7,Is the legend discrete or continuous?,Continuous,c,N
5,19,Yes or no: the value of the state Florida is similar to state Maine.,No,c,N
5,42,"Yes/No: Kentucky has a lower value than state Florida, and also a similar value as state Montana.",Yes,c,N
5,34,Yes or no: Maine is the North eastern-most state that has a similar value compared to all its neighbours.,Yes,c,Y
5,30,Does California have the same value to state Oregon?,Yes,c,N
5,33,Yes or no: Florida and Alabama are the pair of bordering states with the highest difference.,Yes,c,Y
5,16,What value range does state Texas fall in?,20M - 30M,c,N
5,28,Which state in the east coast region has a similar value to state Florida?,,c,N
5,29,Which range has the highest number of states?,0-10M,c,N
5,22,Yes or no: States of region bordering Canada have lower values on average than states bordering Mexico.,Yes,c,N
33,31,Yes or no: All the states bodering Mississippi belong to range 119-160.,Yes,d,N
33,37,Which state borders only states from range 161-193?,South Carolina,d,Y
33,3,What is the overall range of the legend?,119-293,d,N
33,4,What value range does the second lightest shade represent?,195-224,d,N
33,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,d,N
33,7,Is the legend discrete or continuous?,Discrete,d,N
33,9,Does state Texas fall in range 161-193?,Yes,d,N
33,27,Which states bordering Nevada have a value higher than state Idaho?,"California, Oregon",d,Y
33,18,Yes or no: the value of the state Alabama is similar to its neighbouring state Tennessee.,Yes,d,N
33,40,Which states on the west coast belonging to the highest range are neighbouring each other?,"California, Oregon, Washington
",d,N
33,43,"Rank the states Michigan, Ohio, and Pennsylvania in terms of the legend value in the Great Lakes region?",Michigan < Ohio = Pennsylvania,d,Y
49,6,Yes or no: the map depicts percentages.,No,c,N
49,11,Which states in the north-east region belong to range 500-600k?,New York,c,N
49,37,Which states have missing data?,,c,N
49,41,Are there significant gaps between certain ranges in the legend? Yes/No,No,c,N
49,23,How many states bordering Lake Erie have a value higher than 500K?,1,c,N
49,39,Yes or no: all states bordering Canada have values below 100K.,No,c,N
49,35,How many states bordering Texas have a value similar to state South Carolina?,4,c,Y
49,18,Yes or no: the value of the state Connecticut is lower than its neighbouring state Rhode Island.,No,c,N
49,4,What value range does the darkest shade represent?,700k - 800k,c,N
49,7,Is the legend discrete or continuous?,Continuous,c,N
49,21,Yes or no: Alaska has the same value as North Dakota.,Yes,c,N
15117,13,Which state has the least value among the states bordering Mexico?,Arizona,d,N
15117,4,What value range does the darkest shade represent?,3-5,d,N
15117,7,Is the legend discrete or continuous?,Discrete,d,N
15117,8,Which class has the largest range of values?,0,d,N
15117,27,Which states on the western coast have a value similar to state North Carolina?,,d,N
15117,11,Which states bodering Kansas belong to range 3-5?,,d,N
15117,30,Does state Missouri have the same value to state Utah.,Yes,d,N
15117,35,How many states bordering Wyoming have a value higher than state Massachusetts?,1,d,Y
15117,3,What is the overall range of the legend?,0-5,d,N
15117,23,How many states bordering Lake Superior have missing data?,0,d,N
56,31,Yes or no: a majority of states bodering Canada belong to range 1500-2000.,Yes,d,N
56,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,d,N
56,41,Are the legends evenly spaced?,No,d,N
56,34,Yes or no: North Carolina is the Eastern most state that has a higher value compared to all its neighbours.,No,d,Y
56,21,Yes or no: state Arizona has the least value among states bordering Mexico.,Yes,d,N
56,37,Which state on the eastern coast borders states without any data?,,d,Y
56,33,Yes or no: New York and New Jersey are a pair of bordering states with the highest difference.,Yes,d,Y
56,39,Yes or no: all states bordering Oregon have values 1500-2000.,Yes,d,Y
56,32,Yes or no: state Maine is an outlier compared to other states in the north-east region.,No,d,N
56,16,What value range does state Wisconsin fall in?,1500-2000,d,N
200,29,Which range has the least number of states?,>14k,c,N
200,7,Is the legend discrete or continuous?,Continuous,c,N
200,36,Name the Southern most state in the range 10-12k.,Florida,c,N
200,20,Name the western-most state that belongs to a different value range compared to all its neighbours.,California,c,Y
200,9,Does New York state fall in the range 8-10k?,Yes,c,N
200,15,List the 2 states bordering California with similar values.,"Nevada, Oregon",c,Y
200,28,Which state bordering Lake Michigan has the same value to state Oklahoma?,"Indiana, Wisconsin",c,N
200,6,Yes or no: the map depicts percentages.,No,c,N
200,26,Which states along the Canada border have a value similar to Florida?,New York,c,N
200,18,Yes or no: the value of the state Kansas is similar to its neighbouring state Texas.,No,c,N
98,42,Yes/No: North Carolina has a similar value as Michigan and also have a similar value as California.,No,c,N
98,22,Yes or no: States of west region have similar values on average to eastern coast states.,No,c,N
98,19,Yes or no: the value of the state Florida is higher to state Idaho.,Yes,c,N
98,12,What is the second highest value range in the legend?,2.5M - 3M,c,N
98,5,Yes or no: the legend has multiple distinct colours?,No,c,N
98,16,What value range does state West Virginia fall in?,< 0.5M,c,N
98,18,Yes or no: the value of the state Texas is higher than its neighbouring state Louisiana.,Yes,c,N
98,9,Does California fall in range above 2.5M?,Yes,c,N
98,7,Is the legend discrete or continuous?,Continuous,c,N
98,32,Yes or no: California is an outlier compared to other states in its neighbouring region.,Yes,c,N
